"","temp","year"
"3738",21.6,2013
"3745",37.5,2013
"3746",36.1,2013
"3749",37.7,2013
"3767",42,2013
"3781",14.8,2013
"3788",20.8,2013
"3797",33.8,2013
"3814",50.5,2013
"3821",29.7,2013
"3843",35.3,2013
"3861",41.7,2013
"3863",11.9,2013
"3868",16.7,2013
"3876",20.5,2013
"3881",24.9,2013
"3884",22.6,2013
"3892",7.6,2013
"3897",18.8,2013
"3905",20.7,2013
"3907",24.4,2013
"3944",35.9,2013
"3953",21.7,2013
"3956",33.9,2013
"3977",10.7,2013
"3978",34.7,2013
"3993",34.4,2013
"43",6.2,2014
"80",11.4,2014
"91",15.5,2014
"129",31.7,2014
"133",34,2014
"149",-4.5,2014
"166",24.9,2014
"217",8.3,2014
"218",7.2,2014
"219",6.9,2014
"226",42.4,2014
"230",33.5,2014
"232",4.4,2014
"240",18.3,2014
"247",37.6,2014
"267",26,2014
"291",21.2,2014
"294",16.4,2014
"300",20.3,2014
"307",12.2,2014
"308",24.5,2014
"313",23.5,2014
"328",6,2014
"331",4.5,2014
"337",31,2014
"340",24,2014
"377",5.4,2014
"380",10.6,2014
"381",11.4,2014
"387",10.7,2014
"394",15.2,2014
"401",21.3,2014
"411",6.9,2014
"417",20.9,2014
"432",26.8,2014
"433",17.4,2014
"441",13.7,2014
"445",15.7,2014
"449",38.2,2014
"471",7.3,2014
"484",22.2,2014
"490",23.8,2014
"515",19.3,2014
"521",19.1,2014
"522",3,2014
"546",37,2014
"548",29.9,2014
"562",23.9,2014
"584",8.4,2014
"587",32.2,2014
"597",23.4,2014
"610",20.4,2014
"634",12,2014
"647",35,2014
"719",17,2014
"745",31.1,2014
"758",26.7,2014
"763",26.3,2014
"784",23.1,2014
"785",38.7,2014
"786",12.4,2014
"791",8.5,2014
"811",26.3,2014
"826",42.1,2014
"830",27.3,2014
"836",45.7,2014
"841",22.2,2014
"851",22.7,2014
"853",35.5,2014
"859",26.5,2014
"867",37,2014
"872",38.6,2014
"878",43.9,2014
"886",37.3,2014
"901",32.9,2014
"902",28.9,2014
"923",39.7,2014
"929",27.9,2014
"935",44,2014
"951",41.9,2014
"963",43.5,2014
"969",24.9,2014
"979",42.9,2014
"980",30.2,2014
"984",53.7,2014
"1052",44.7,2014
"1070",49.6,2014
"1081",61.2,2014
"1089",49,2014
"1093",43,2014
"1106",47.3,2014
"1134",40,2014
"1136",41.8,2014
"1140",31.8,2014
"1147",52,2014
"1166",55.4,2014
"1167",61.3,2014
"1176",46,2014
"1177",50.7,2014
"1178",38.8,2014
"1179",57.6,2014
"1201",51.9,2014
"1209",39.6,2014
"1224",49.6,2014
"1227",67.5,2014
"1229",56,2014
"1230",57.9,2014
"1238",48.9,2014
"1245",50.5,2014
"1271",53.3,2014
"1290",47.1,2014
"1299",40.6,2014
"1307",64.6,2014
"1309",52.2,2014
"1313",49.5,2014
"1393",68,2014
"1404",60.1,2014
"1418",61.2,2014
"1420",67.4,2014
"1423",49.7,2014
"1426",76.5,2014
"1446",72.9,2014
"1449",42.9,2014
"1457",73.3,2014
"1458",65.3,2014
"1460",58.1,2014
"1469",67.1,2014
"1473",49.1,2014
"1474",66.1,2014
"1481",54.7,2014
"1509",63.8,2014
"1528",76,2014
