"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","NUM_CRIMES"
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2011,66,999.9,0.765811965811966
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2011,63.8,999.9,0.642735042735043
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2011,80.2,999.9,0.707692307692308
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2011,74.9,999.9,0.714529914529915
"165",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011,57.2,999.9,0.603418803418803
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2011,74.1,999.9,0.776068376068376
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,68.9,999.9,0.642735042735043
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2011,86.4,999.9,0.758974358974359
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,65.6,999.9,0.897435897435897
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2011,70.9,999.9,0.786324786324786
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,86.7,999.9,0.733333333333333
"172",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,66.7,999.9,0.776068376068376
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2011,67,999.9,0.671794871794872
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2011,72.4,999.9,0.593162393162393
"175",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,73.4,999.9,0.969230769230769
"176",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2011,71.6,999.9,0.65982905982906
